year,neighborhood,gross_rent
2010,Alamo Square,1239
2010,Anza Vista,1239
2010,Bayview,1239
2010,Buena Vista Park,1239
2010,Central Richmond,1239
2010,Central Sunset,1239
2010,Corona Heights,1239
2010,Cow Hollow,1239
2010,Croker Amazon,1239
2010,Diamond Heights,1239
2010,Downtown ,1239
2010,Eureka Valley/Dolores Heights,1239
2010,Excelsior,1239
2010,Financial District North,1239
2010,Financial District South,1239
2010,Forest Knolls,1239
2010,Glen Park,1239
2010,Golden Gate Heights,1239
2010,Haight Ashbury,1239
2010,Hayes Valley,1239
2010,Hunters Point,1239
2010,Ingleside ,1239
2010,Inner Mission,1239
2010,Inner Parkside,1239
2010,Inner Richmond,1239
2010,Inner Sunset,1239
2010,Jordan Park/Laurel Heights,1239
2010,Lake --The Presidio,1239
2010,Lone Mountain,1239
2010,Lower Pacific Heights,1239
2010,Marina,1239
2010,Miraloma Park,1239
2010,Mission Bay,1239
2010,Mission Dolores,1239
2010,Mission Terrace,1239
2010,Nob Hill,1239
2010,Noe Valley,1239
2010,Oceanview,1239
2010,Outer Parkside,1239
2010,Outer Richmond ,1239
2010,Outer Sunset,1239
2010,Pacific Heights,1239
2010,Park North,1239
2010,Parkside,1239
2010,Parnassus/Ashbury Heights,1239
2010,Portola,1239
2010,Potrero Hill,1239
2010,Presidio Heights,1239
2010,Russian Hill,1239
2010,South Beach,1239
2010,South of Market,1239
2010,Sunnyside,1239
2010,Telegraph Hill,1239
2010,Twin Peaks,1239
2010,Union Square District,1239
2010,Van Ness/ Civic Center,1239
2010,West Portal,1239
2010,Western Addition,1239
2010,Yerba Buena,1239
2011,Alamo Square,1530
2011,Bayview,1530
2011,Bernal Heights ,1530
2011,Buena Vista Park,1530
2011,Central Richmond,1530
2011,Central Sunset,1530
2011,Clarendon Heights,1530
2011,Corona Heights,1530
2011,Cow Hollow,1530
2011,Croker Amazon,1530
2011,Diamond Heights,1530
2011,Downtown ,1530
2011,Duboce Triangle,1530
2011,Eureka Valley/Dolores Heights,1530
2011,Financial District North,1530
2011,Financial District South,1530
2011,Glen Park,1530
2011,Golden Gate Heights,1530
2011,Haight Ashbury,1530
2011,Hayes Valley,1530
2011,Ingleside ,1530
2011,Ingleside Heights,1530
2011,Inner Mission,1530
2011,Inner Richmond,1530
2011,Inner Sunset,1530
2011,Jordan Park/Laurel Heights,1530
2011,Lake --The Presidio,1530
2011,Lone Mountain,1530
2011,Lower Pacific Heights,1530
2011,Marina,1530
2011,Miraloma Park,1530
2011,Mission Bay,1530
2011,Mission Dolores,1530
2011,Nob Hill,1530
2011,Noe Valley,1530
2011,North Beach,1530
2011,North Waterfront,1530
2011,Outer Mission,1530
2011,Outer Parkside,1530
2011,Outer Richmond ,1530
2011,Outer Sunset,1530
2011,Pacific Heights,1530
2011,Park North,1530
2011,Parkside,1530
2011,Parnassus/Ashbury Heights,1530
2011,Portola,1530
2011,Potrero Hill,1530
2011,Presidio Heights,1530
2011,Russian Hill,1530
2011,South Beach,1530
2011,South of Market,1530
2011,Sunnyside,1530
2011,Telegraph Hill,1530
2011,Twin Peaks,1530
2011,Union Square District,1530
2011,Van Ness/ Civic Center,1530
2011,Western Addition,1530
2011,Westwood Highlands,1530
2011,Yerba Buena,1530
2012,Alamo Square,2324
2012,Anza Vista,2324
2012,Bayview,2324
2012,Bernal Heights ,2324
2012,Buena Vista Park,2324
2012,Central Richmond,2324
2012,Central Sunset,2324
2012,Corona Heights,2324
2012,Cow Hollow,2324
2012,Croker Amazon,2324
2012,Diamond Heights,2324
2012,Downtown ,2324
2012,Duboce Triangle,2324
2012,Eureka Valley/Dolores Heights,2324
2012,Excelsior,2324
2012,Financial District North,2324
2012,Financial District South,2324
2012,Forest Knolls,2324
2012,Haight Ashbury,2324
2012,Hayes Valley,2324
2012,Inner Mission,2324
2012,Inner Richmond,2324
2012,Inner Sunset,2324
2012,Jordan Park/Laurel Heights,2324
2012,Lake --The Presidio,2324
2012,Lone Mountain,2324
2012,Lower Pacific Heights,2324
2012,Marina,2324
2012,Merced Heights,2324
2012,Midtown Terrace,2324
2012,Miraloma Park,2324
2012,Mission Bay,2324
2012,Mission Dolores,2324
2012,Nob Hill,2324
2012,Noe Valley,2324
2012,North Beach,2324
2012,North Waterfront,2324
2012,Oceanview,2324
2012,Outer Mission,2324
2012,Outer Parkside,2324
2012,Outer Richmond ,2324
2012,Outer Sunset,2324
2012,Pacific Heights,2324
2012,Park North,2324
2012,Parkside,2324
2012,Parnassus/Ashbury Heights,2324
2012,Portola,2324
2012,Potrero Hill,2324
2012,Presidio Heights,2324
2012,Russian Hill,2324
2012,South of Market,2324
2012,Telegraph Hill,2324
2012,Twin Peaks,2324
2012,Union Square District,2324
2012,Van Ness/ Civic Center,2324
